root	code	raw_form	issue
ph₂tḗr	hyx-pro		UNKNOWN_LANG_CODE
ph₂tḗr	yms	πατριζι	UNKNOWN_LANG_CODE
ph₂tḗr	xpg	πατερης	UNKNOWN_LANG_CODE
ph₂tḗr	ine-toc-pro	*pācer	UNKNOWN_LANG_CODE
méh₂tēr	sqj-pro	*māter	UNKNOWN_LANG_CODE
méh₂tēr	cms	𐌌𐌀𐌕𐌖𐌓𐌀	UNKNOWN_LANG_CODE
méh₂tēr	xpg	ματαρ	UNKNOWN_LANG_CODE
méh₂tēr	ine-toc-pro	*mācer	UNKNOWN_LANG_CODE
dwóh₁	sqj-pro	*duwō	UNKNOWN_LANG_CODE
dwóh₁	hit	𒋫	UNKNOWN_LANG_CODE
dwóh₁	xlu	𔑢𔗬	UNKNOWN_LANG_CODE
dwóh₁	imy	𐊗𐊂𐊆	UNKNOWN_LANG_CODE
dwóh₁	xlc	𐊋𐊂𐊆	UNKNOWN_LANG_CODE
tréyes	sqj-pro	*treje	UNKNOWN_LANG_CODE
tréyes	ine-ana-pro	*trḗs	UNKNOWN_LANG_CODE
tréyes	hit	tr=tri-	UNKNOWN_LANG_CODE
tréyes	xlc	𐊗𐊕𐊁𐊆	UNKNOWN_LANG_CODE
tréyes	xlu	𔑰𔖱𔓯	UNKNOWN_LANG_CODE
tréyes	imy	𐊗𐊕𐊆-	UNKNOWN_LANG_CODE
tréyes	cms	tr=tri-	UNKNOWN_LANG_CODE
tréyes	xpg	θρί-	UNKNOWN_LANG_CODE
tréyes	ine-toc-pro	*treyä	UNKNOWN_LANG_CODE
nókʷts	sqj-pro	*naktā	UNKNOWN_LANG_CODE
nókʷts	hit	𒉈𒆪𒊻	UNKNOWN_LANG_CODE
nókʷts	inc-pro	*nákts	UNKNOWN_LANG_CODE
nókʷts	ira-pro	*náxts	UNKNOWN_LANG_CODE
nókʷts	ae-yng	𐬎𐬞𐬀⸱𐬥𐬀𐬑𐬙𐬎𐬭𐬎𐬱𐬎	UNKNOWN_LANG_CODE
nókʷts	kmr	nixte	UNKNOWN_LANG_CODE
nókʷts	wbl	naɣ̌d	UNKNOWN_LANG_CODE
ḱḗr	sq	kërth	UNKNOWN_LANG_CODE
ḱḗr	hit	𒆠𒅕	UNKNOWN_LANG_CODE
ḱḗr	xlu	-	UNKNOWN_LANG_CODE
ḱḗr	xlu	𒍝𒀀𒅈𒍝	UNKNOWN_LANG_CODE
ḱḗr	xlu	tr=za-ra/i-za	UNKNOWN_LANG_CODE
ḱḗr	xlc	𐊋𐊕𐊆𐊅𐊁	UNKNOWN_LANG_CODE
ḱḗr	plq	𒅗𒀀𒅈𒋾	UNKNOWN_LANG_CODE
ḱḗr	hyx-pro	*ḱḗrdi-	UNKNOWN_LANG_CODE
ḱḗr	el	καρδιά	UNKNOWN_LANG_CODE
ḱḗr	ine-toc-pro	*käryā-	UNKNOWN_LANG_CODE
pṓds	sqj-pro	*pāsi	UNKNOWN_LANG_CODE
pṓds	sq	përposh	UNKNOWN_LANG_CODE
pṓds	hit	𒄊𒀸	UNKNOWN_LANG_CODE
pṓds	xlc	𐊓𐊁𐊅𐊁	UNKNOWN_LANG_CODE
pṓds	xlu	𒉺𒋫𒀀𒀸	UNKNOWN_LANG_CODE
pṓds	xce	ozas	UNKNOWN_LANG_CODE
pṓds	el	πόδι	UNKNOWN_LANG_CODE
pṓds	ine-toc-pro	*pei	UNKNOWN_LANG_CODE
ǵómbʰos	sqj-pro	*dzamba	UNKNOWN_LANG_CODE
ǵómbʰos	sq	dhëmb	UNKNOWN_LANG_CODE
ǵómbʰos	ine-toc-pro	*keme	UNKNOWN_LANG_CODE
swéḱs	sqj-pro	*seksti	UNKNOWN_LANG_CODE
swéḱs	hy	վեց	UNKNOWN_LANG_CODE
swéḱs	ine-toc-pro	*ṣ(wy)äkä(s)	UNKNOWN_LANG_CODE
swéḱs	ccs-pro	*eks₁w-	UNKNOWN_LANG_CODE
ḱwṓ	hit	𒆪𒉿𒀸	UNKNOWN_LANG_CODE
ḱwṓ	xlu	-	UNKNOWN_LANG_CODE
ḱwṓ	xlu	𔑬𔗵𔗬	UNKNOWN_LANG_CODE
ḱwṓ	xld	-𐤨𐤠𐤫	UNKNOWN_LANG_CODE
ḱwṓ	hy	շուն	UNKNOWN_LANG_CODE
ḱwṓ	el	κύων	UNKNOWN_LANG_CODE
ḱwṓ	xpg	κύνας	UNKNOWN_LANG_CODE
ḱwṓ	ine-toc-pro	*ku	UNKNOWN_LANG_CODE
h₂stḗr	-	-	PAGE_MISSING
yugóm	-	-	PAGE_MISSING
